,scientific_name,park_name,observations,category,common_names
0,Vicia benghalensis,GSMNP,68,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch"
1,Vicia benghalensis,YNP,148,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch"
2,Vicia benghalensis,YeNP,247,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch"
3,Vicia benghalensis,BNP,104,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch"
4,Neovison vison,GSMNP,77,Mammal,American Mink
5,Neovison vison,YeNP,218,Mammal,American Mink
6,Neovison vison,BNP,91,Mammal,American Mink
7,Neovison vison,YNP,200,Mammal,American Mink
8,Prunus subcordata,YNP,138,Vascular Plant,Klamath Plum
9,Prunus subcordata,YeNP,217,Vascular Plant,Klamath Plum
10,Prunus subcordata,BNP,91,Vascular Plant,Klamath Plum
11,Prunus subcordata,GSMNP,72,Vascular Plant,Klamath Plum
12,Abutilon theophrasti,BNP,84,Vascular Plant,Velvetleaf
13,Abutilon theophrasti,YNP,138,Vascular Plant,Velvetleaf
14,Abutilon theophrasti,GSMNP,85,Vascular Plant,Velvetleaf
15,Abutilon theophrasti,YeNP,262,Vascular Plant,Velvetleaf
16,Githopsis specularioides,GSMNP,85,Vascular Plant,Common Bluecup
17,Githopsis specularioides,YNP,134,Vascular Plant,Common Bluecup
18,Githopsis specularioides,BNP,92,Vascular Plant,Common Bluecup
19,Githopsis specularioides,YeNP,216,Vascular Plant,Common Bluecup
20,Elymus virginicus var. virginicus,YNP,112,Vascular Plant,Virginia Wildrye
21,Elymus virginicus var. virginicus,YeNP,264,Vascular Plant,Virginia Wildrye
22,Elymus virginicus var. virginicus,BNP,95,Vascular Plant,Virginia Wildrye
23,Elymus virginicus var. virginicus,GSMNP,80,Vascular Plant,Virginia Wildrye
24,Spizella pusilla,YeNP,228,Bird,Field Sparrow
25,Spizella pusilla,YNP,148,Bird,Field Sparrow
26,Spizella pusilla,BNP,92,Bird,Field Sparrow
27,Spizella pusilla,GSMNP,72,Bird,Field Sparrow
28,Elymus multisetus,GSMNP,39,Vascular Plant,"Big Squirreltail, Big Wild Rye"
29,Elymus multisetus,YeNP,256,Vascular Plant,"Big Squirreltail, Big Wild Rye"
30,Elymus multisetus,BNP,114,Vascular Plant,"Big Squirreltail, Big Wild Rye"
31,Elymus multisetus,YNP,137,Vascular Plant,"Big Squirreltail, Big Wild Rye"
32,Lysimachia quadrifolia,YNP,168,Vascular Plant,Whorled Loosestrife
33,Lysimachia quadrifolia,GSMNP,50,Vascular Plant,Whorled Loosestrife
